Front,Back
Macie,"ML-based sensitive data discovery in S3 (PII, credentials, financial). KEYWORDS: PII · sensitive data · S3 classification · data privacy. MACIE vs GUARDDUTY: Macie finds sensitive DATA. GuardDuty finds suspicious BEHAVIOR."
Multi-AZ,"Spread resources across Availability Zones. One AZ fails → others serve traffic. KEYWORDS: AZ failure · standby · automatic failover · RPO ≈ 0 · RTO < 2 min · same region. TRADE-OFF: Roughly doubles cost but protects against most common AWS failure."
Multi-Region DR,"Replication to a second AWS Region. Protects against full regional outages. KEYWORDS: RPO · RTO · pilot light · warm standby · active-active · Aurora Global · Route 53 failover. TRADE-OFF: Much higher cost/complexity than Multi-AZ. Validate business case first."
Auto Scaling Group (ASG),"Automatically adds/removes EC2 based on load. Replaces unhealthy instances. KEYWORDS: launch template · target tracking · min/max/desired · health check · cooldown · warm pool. TRADE-OFF: Takes minutes to scale — pre-warm with Warm Pools for faster response."
Application Load Balancer (ALB),"Layer 7 load balancer. Routes HTTP/HTTPS by path/host/header. KEYWORDS: Layer 7 · target group · listener rule · path routing · sticky sessions · health check · WAF attachment. ALB vs NLB: ALB for HTTP/HTTPS. NLB for TCP/UDP/extreme performance."
SQS,"Fully managed message queue. Decouples producers from consumers. KEYWORDS: queue · message · visibility timeout · DLQ · at-least-once · FIFO · Standard · polling · decoupling. Standard: high throughput + possible duplicates. FIFO: ordered + exactly-once + 3k msg/s."
SNS,"Pub/sub. One publisher → many subscribers (SQS, Lambda, email, SMS, HTTP). KEYWORDS: topic · fan-out · push · SQS+SNS pattern. SNS vs SQS: SNS pushes to all subscribers. SQS stores for one consumer to pull."
Lambda,"Serverless functions. Runs code on events. Pay per invocation + per ms. KEYWORDS: serverless · cold start · 15-min limit · stateless · SQS/S3/API Gateway trigger · provisioned concurrency · reserved concurrency. TRADE-OFF: Zero idle cost but cold starts add latency."
Step Functions,"Orchestrates multi-step workflows as state machines. Handles retries, tracks state. KEYWORDS: state machine · retry · catch · execution history · Standard (90-day) · Express (5-min) · idempotency. Standard: durable + auditable. Express: fast + cheap + no audit."
ECS,"Runs Docker containers. Fargate (serverless) or EC2 (managed hosts). KEYWORDS: task definition · ECS service · Fargate · ECR · task IAM role · service auto scaling. ECS vs EKS: ECS for AWS-native simplicity. EKS if you need Kubernetes ecosystem."
EKS,"Managed Kubernetes control plane. KEYWORDS: Kubernetes · control plane · worker nodes · pod · Fargate profile. USE WHEN: Migrating existing K8s workloads or team already knows Kubernetes."
EC2,"Virtual machines in the cloud. Full control over OS and configuration. KEYWORDS: instance type · AMI · key pair · instance profile · On-Demand · Reserved · Spot · placement group · UserData. TRADE-OFF: Maximum control = maximum management responsibility."
S3,"Object storage. Any file in buckets. 11-nines durability. Unlimited scale. KEYWORDS: bucket · object · key · eleven-nines · versioning · lifecycle · storage class · presigned URL · event notification. NOT a filesystem — can't mount. Latency higher than EBS."
EBS,"Persistent block storage for ONE EC2 instance. KEYWORDS: volume · snapshot · gp3 · io2 · AZ-bound · one instance · IOPS · throughput · encryption. TRADE-OFF: Tied to one AZ. Must snapshot for backup or cross-AZ migration."
EFS,"Managed NFS filesystem. Mounts to MULTIPLE EC2 instances simultaneously. KEYWORDS: NFS · shared · multi-instance · elastic · Bursting/Provisioned throughput. TRADE-OFF: Higher cost than EBS. Use only when multiple instances need the same data."
RDS,"Managed relational database (PostgreSQL/MySQL/etc). AWS handles patching, backups, failover. KEYWORDS: Multi-AZ · read replica · automated backups · PITR · RDS Proxy · no OS access. TRADE-OFF: No OS access. Write scaling requires Aurora or sharding."
Aurora,"AWS-built MySQL/PostgreSQL-compatible DB. Shared storage (6 copies / 3 AZs). 5× faster than MySQL. KEYWORDS: shared storage · read replicas (15) · Aurora Global · Serverless v2 · Backtrack · ~30s failover. TRADE-OFF: Higher base cost than RDS. Worth it at scale."
DynamoDB,"Fully managed NoSQL. Single-digit ms latency at any scale. KEYWORDS: partition key · sort key · GSI · LSI · on-demand · provisioned · DynamoDB Streams · DAX · hot partition. TRADE-OFF: No joins. Access patterns must be designed upfront."
ElastiCache,"Managed in-memory cache (Redis or Memcached). Reduces database load. KEYWORDS: Redis · Memcached · cache hit/miss · TTL · eviction · sub-ms latency. TRADE-OFF: Eventually consistent. Cache invalidation is the hard part."
CloudFront,"CDN. Caches content at 400+ edge locations globally. KEYWORDS: edge location · origin · cache behavior · TTL · invalidation · Lambda@Edge · WAF attachment. TRADE-OFF: Cached content can go stale until TTL expires — set TTL carefully."
Route 53,"AWS DNS. Registers domains. Routes globally with health checks. KEYWORDS: hosted zone · A/CNAME/alias record · health check · failover · latency/weighted/geo routing · TTL. USE WHEN: DNS failover, multi-region routing, domain registration."
Kinesis Data Streams,"Real-time streaming. Multiple consumers read the same stream. KEYWORDS: shard · producer · consumer · replay · retention · partition key · Enhanced Fan-Out. Kinesis vs SQS: Kinesis = replay + multiple consumers. SQS = one consumer, message deleted after read."
Glue,"Serverless ETL. Discovers schemas (Crawler), stores metadata (Data Catalog), runs Spark jobs. KEYWORDS: ETL · crawler · Data Catalog · Spark · serverless · Parquet · partition. USE WHEN: Building data pipelines and transforming S3 data for analytics."
Athena,"Serverless SQL on S3. Pay per TB scanned. KEYWORDS: serverless SQL · S3 · Parquet · partition · $5/TB · Glue Data Catalog · Workgroups. TRADE-OFF: Parquet + partitions can cut scan cost 99%. Without them, queries can be surprisingly expensive."
EC2 On-Demand,"Pay per hour/second. No commitment. Most expensive. KEYWORDS: no commitment · per second · flexible. USE WHEN: Short-term, unpredictable workloads. Dev/test."
EC2 Reserved Instances / Savings Plans,"1 or 3 year commitment. Up to 72% discount. KEYWORDS: 1-year · 3-year · Standard RI · Convertible RI · Compute Savings Plan · break-even ~7 months. USE WHEN: Predictable 24/7 workloads. Production servers and databases."
EC2 Spot Instances,"Spare AWS capacity. Up to 90% discount. 2-minute interruption warning. KEYWORDS: 2-minute warning · checkpoint · Spot Fleet · not for databases · not for critical APIs. USE WHEN: Fault-tolerant, stateless, interruptible — batch jobs, CI/CD, data processing."
S3 Storage Classes,"Standard (frequent) · Standard-IA (monthly) · Glacier Instant (rare, fast) · Glacier Flexible (rare, hours) · Deep Archive (never, 12h) · Intelligent-Tiering (unknown). RULE: Lower per-GB → retrieval fee. Intelligent-Tiering: no retrieval fee but per-object monitoring charge."
NAT Gateway,"Lets private subnet resources reach internet outbound. Internet cannot connect inbound. KEYWORDS: outbound only · per-hour + per-GB · one per AZ for HA · VPC Gateway Endpoint avoids NAT for S3/DynamoDB. TRADE-OFF: Per-GB fee adds up fast at scale."
VPC Endpoints,"Private connection to AWS services — no internet, no NAT. Gateway (S3/DynamoDB — FREE). Interface (other services — $/hr). KEYWORDS: no internet · PrivateLink · Gateway free · Interface priced. ALWAYS use Gateway Endpoints for S3 and DynamoDB."
Shared Responsibility Model,"AWS secures OF the cloud (hardware, data centers, global network). YOU secure IN the cloud (data, IAM, app config, OS patching on EC2). KEY NUANCE: More managed service = more AWS responsibility. RDS: AWS patches DB. EC2: you patch OS."
RTO and RPO,"RTO = Recovery Time Objective: how long system can be DOWN. RPO = Recovery Point Objective: how much DATA you can lose. RPO=0 → synchronous replication (Multi-AZ). Aurora Global is ASYNC: RPO ~1s, not 0. RTO<2min → Multi-AZ. RTO<seconds → active-active multi-region."
Well-Architected Framework 6 Pillars,"Operational Excellence · Security · Reliability · Performance Efficiency · Cost Optimization · Sustainability. MEMORY: 'Owners Should Really Pay Cost Seriously'"
CapEx vs OpEx,"CapEx = buy hardware upfront, depreciate over time (on-premises). OpEx = pay as you go monthly (cloud). EXAM SIGNAL: 'eliminate upfront costs' or 'shift from CapEx to OpEx' → cloud adoption answer."
